# iter A1_real A1_imag B1 lambda obj
53 0.000000000000e+00 3.144226563334e+00 4.912302857637e-01 6.432153748917e+00 1.151711590962e-05
54 0.000000000000e+00 3.142448158979e+00 4.951347362995e-01 6.427836730077e+00 3.592969935028e-05
55 0.000000000000e+00 3.143148799717e+00 4.882590195537e-01 6.430404455880e+00 3.854579047517e-06
56 0.000000000000e+00 3.140526178658e+00 4.869002982974e-01 6.425193690312e+00 6.653328216709e-06
57 0.000000000000e+00 3.141451274827e+00 4.879827951640e-01 6.426933628137e+00 1.703964501376e-06
58 0.000000000000e+00 3.139906417385e+00 4.895953401178e-01 6.423471976009e+00 2.538519665683e-06
59 0.000000000000e+00 3.140717012968e+00 4.892612599768e-01 6.425205062554e+00 5.657532073389e-07
60 0.000000000000e+00 3.140869680416e+00 4.911500293203e-01 6.425214403989e+00 3.921981816901e-06
61 0.000000000000e+00 3.141305876224e+00 4.887746037031e-01 6.426503754339e+00 2.838648123923e-07
62 0.000000000000e+00 3.142192805531e+00 4.893849082338e-01 6.428241478240e+00 5.347384472630e-07
63 0.000000000000e+00 3.141823857391e+00 4.893539961695e-01 6.427482395798e+00 1.316527649912e-07
64 0.000000000000e+00 3.141525791340e+00 4.882570353651e-01 6.427043379871e+00 1.060496539566e-06
65 0.000000000000e+00 3.141584404541e+00 4.894679322219e-01 6.426967955511e+00 5.062813653120e-08
66 0.000000000000e+00 3.142102385708e+00 4.900473246884e-01 6.427946552735e+00 1.008295207022e-06
67 0.000000000000e+00 3.141505003595e+00 4.890927839494e-01 6.426864445818e+00 3.557374883457e-08
68 0.000000000000e+00 3.141265550746e+00 4.892067200018e-01 6.426349998830e+00 4.664964581753e-08
69 0.000000000000e+00 3.141186149800e+00 4.888315717292e-01 6.426246528800e+00 2.827728617849e-07
70 0.000000000000e+00 3.141484840856e+00 4.893088420987e-01 6.426787586131e+00 1.297005098531e-09
71 0.000000000000e+00 3.141724293705e+00 4.891949060464e-01 6.427302035252e+00 7.138913800620e-08
72 0.000000000000e+00 3.141380236486e+00 4.892037665129e-01 6.426588019568e+00 1.341336741525e-08
73 0.000000000000e+00 3.141360073746e+00 4.894198246622e-01 6.426511163756e+00 3.272055144205e-08
74 0.000000000000e+00 3.141396306209e+00 4.893380644840e-01 6.426599459443e+00 9.174161364983e-09
75 0.000000000000e+00 3.141500910579e+00 4.894431400699e-01 6.426799060870e+00 2.926792672813e-08
76 0.000000000000e+00 3.141410405009e+00 4.892636099021e-01 6.426640771673e+00 3.672464152591e-09
77 0.000000000000e+00 3.141498939656e+00 4.892343875168e-01 6.426828892957e+00 2.661725120974e-09
78 0.000000000000e+00 3.141573375503e+00 4.892796197134e-01 6.426975711136e+00 1.077452002851e-08
79 0.000000000000e+00 3.141451147632e+00 4.892676123550e-01 6.426724490857e+00 4.231556806693e-10
80 0.000000000000e+00 3.141437048832e+00 4.893420669369e-01 6.426683190892e+00 5.405650516484e-09
81 0.000000000000e+00 3.141483466950e+00 4.892613073718e-01 6.426792451771e+00 4.272914287888e-10
82 0.000000000000e+00 3.141449773727e+00 4.892200776281e-01 6.426729384191e+00 3.647988946917e-09
83 0.000000000000e+00 3.141476074074e+00 4.892866509811e-01 6.426773016006e+00 1.454304145463e-10
84 0.000000000000e+00 3.141443754756e+00 4.892929559642e-01 6.426705054903e+00 9.372256487457e-10
85 0.000000000000e+00 3.141473538902e+00 4.892692195199e-01 6.426770621994e+00 7.041849500513e-11
86 0.000000000000e+00 3.141498465343e+00 4.892882581460e-01 6.426819168424e+00 9.781172449308e-10
87 0.000000000000e+00 3.141462977060e+00 4.892727738027e-01 6.426748173558e+00 5.799876303628e-11
88 0.000000000000e+00 3.141460441888e+00 4.892553423416e-01 6.426745759492e+00 5.424600477601e-10
89 0.000000000000e+00 3.141472166027e+00 4.892788238212e-01 6.426766211184e+00 1.191453641309e-11
90 0.000000000000e+00 3.141461604186e+00 4.892823781040e-01 6.426743767263e+00 9.722512730663e-11
91 0.000000000000e+00 3.141470555223e+00 4.892725091659e-01 6.426763890764e+00 1.768586625435e-11
92 0.000000000000e+00 3.141479744190e+00 4.892785591844e-01 6.426781938326e+00 1.068400222099e-10
93 0.000000000000e+00 3.141467168842e+00 4.892742201482e-01 6.426756616192e+00 1.136023753490e-11
94 0.000000000000e+00 3.141468779647e+00 4.892805348034e-01 6.426758917692e+00 1.662907330140e-11
95 0.000000000000e+00 3.141469223541e+00 4.892785283940e-01 6.426760174311e+00 4.042798629380e-12
96 0.000000000000e+00 3.141464226356e+00 4.892739247210e-01 6.426750577707e+00 3.543238973533e-11
97 0.000000000000e+00 3.141470181109e+00 4.892775990461e-01 6.426762285849e+00 1.398398809419e-12
98 0.000000000000e+00 3.141472235808e+00 4.892819072920e-01 6.426765836265e+00 3.584782549593e-11
99 0.000000000000e+00 3.141468435584e+00 4.892761419341e-01 6.426758943127e+00 1.368540665634e-12
100 0.000000000000e+00 3.141469393152e+00 4.892752125862e-01 6.426761073004e+00 1.860490550963e-12
101 0.000000000000e+00 3.141469350750e+00 4.892760415382e-01 6.426760838606e+00 3.241254070035e-13
102 0.000000000000e+00 3.141467605224e+00 4.892745844262e-01 6.426757459730e+00 7.858851267775e-12
103 0.000000000000e+00 3.141469537138e+00 4.892768453911e-01 6.426761069761e+00 7.929471195569e-14
104 0.000000000000e+00 3.141470452304e+00 4.892767449952e-01 6.426763008512e+00 8.325932422248e-13
105 0.000000000000e+00 3.141469948124e+00 4.892765942299e-01 6.426761972514e+00 1.246872529387e-13
106 0.000000000000e+00 3.141470134512e+00 4.892773980829e-01 6.426762236280e+00 1.018048611216e-12
107 0.000000000000e+00 3.141469546690e+00 4.892763806744e-01 6.426761196592e+00 3.243412945847e-14
108 0.000000000000e+00 3.141469135705e+00 4.892766318356e-01 6.426760288562e+00 2.051366890416e-13
109 0.000000000000e+00 3.141469745019e+00 4.892766036313e-01 6.426761576033e+00 4.536503632265e-14
110 0.000000000000e+00 3.141469754571e+00 4.892761389146e-01 6.426761646196e+00 2.154129230145e-13
111 0.000000000000e+00 3.141469591496e+00 4.892766687720e-01 6.426761212353e+00 9.117332686419e-15
112 0.000000000000e+00 3.141469393168e+00 4.892764458150e-01 6.426760877012e+00 3.022138323329e-14
113 0.000000000000e+00 3.141469437974e+00 4.892767339127e-01 6.426760910729e+00 4.411602145384e-14
114 0.000000000000e+00 3.141469519511e+00 4.892764689839e-01 6.426761097360e+00 2.059102726455e-14
115 0.000000000000e+00 3.141469717840e+00 4.892766919409e-01 6.426761493560e+00 4.055260202448e-14
116 0.000000000000e+00 3.141469474336e+00 4.892765073465e-01 6.426761002469e+00 2.081507607703e-14
117 0.000000000000e+00 3.141469636672e+00 4.892766304094e-01 6.426761334837e+00 9.606895154865e-15
118 0.000000000000e+00 3.141469708657e+00 4.892768301975e-01 6.426761456606e+00 9.819221023230e-14
119 0.000000000000e+00 3.141469566798e+00 4.892765592873e-01 6.426761203913e+00 4.838607144441e-17
120 0.000000000000e+00 3.141469521622e+00 4.892765976499e-01 6.426761095064e+00 4.410598563022e-15
121 0.000000000000e+00 3.141469496923e+00 4.892764881652e-01 6.426761082593e+00 5.956764699247e-15
122 0.000000000000e+00 3.141469520567e+00 4.892765333169e-01 6.426761123719e+00 7.117390772847e-16
123 0.000000000000e+00 3.141469565742e+00 4.892764949544e-01 6.426761224692e+00 4.747883066721e-15
124 0.000000000000e+00 3.141469532652e+00 4.892765719760e-01 6.426761140264e+00 2.844004477142e-16
125 0.000000000000e+00 3.141469578883e+00 4.892765979464e-01 6.426761217924e+00 1.149232265009e-15
126 0.000000000000e+00 3.141469535146e+00 4.892765494743e-01 6.426761113153e+00 8.256738409724e-15
127 0.000000000000e+00 3.141469549725e+00 4.892765656317e-01 6.426761147953e+00 3.102927777319e-15
128 0.000000000000e+00 3.141469543682e+00 4.892765463021e-01 6.426761154630e+00 9.559549072857e-16
129 0.000000000000e+00 3.141469560755e+00 4.892765399578e-01 6.426761193728e+00 5.369659662338e-16
130 0.000000000000e+00 3.141469583870e+00 4.892765529430e-01 6.426761242966e+00 9.189323853575e-16
131 0.000000000000e+00 3.141469573823e+00 4.892765512828e-01 6.426761221336e+00 3.854665770766e-16
132 0.000000000000e+00 3.141469579866e+00 4.892765706123e-01 6.426761235707e+00 1.318756294196e-15
133 0.000000000000e+00 3.141469565533e+00 4.892765476214e-01 6.426761176646e+00 3.996090826034e-15
134 0.000000000000e+00 3.141469570310e+00 4.892765552851e-01 6.426761193450e+00 1.350192530872e-15
135 0.000000000000e+00 3.141469563776e+00 4.892765496226e-01 6.426761188552e+00 8.141497088094e-16
