# Optimization log started at 2026-03-26T11:08:09.588542
# iter	A1_imag	B1	lambda	obj
76	4.934548962427e-01	2.277673698589e-01	9.608561620598e-01	2.336531024243e-13
77	4.934538570256e-01	2.277668260729e-01	9.608542765719e-01	8.392902446194e-13
78	4.934550120768e-01	2.277659786639e-01	9.608585491952e-01	2.983465268743e-12
79	4.934540589128e-01	2.277676576169e-01	9.608535546157e-01	1.398889746723e-13
80	4.934550981300e-01	2.277682014028e-01	9.608554398755e-01	9.789763399138e-13
81	4.934541673017e-01	2.277671699054e-01	9.608545671776e-01	2.711386192489e-13
82	4.934547878539e-01	2.277678575703e-01	9.608551481832e-01	4.528013429149e-14
83	4.934550981300e-01	2.277682014028e-01	9.608554399395e-01	1.026564809837e-12
84	4.934539505240e-01	2.277681453284e-01	9.608525416693e-01	7.189025649589e-13
85	4.934546598130e-01	2.277675637262e-01	9.608552569529e-01	6.561348321308e-14
86	4.934553887541e-01	2.277677636797e-01	9.608568517019e-01	1.096456969785e-12
87	4.934543913731e-01	2.277676841326e-01	9.608543783862e-01	4.020756188624e-14
88	4.934545194140e-01	2.277679779767e-01	9.608542705884e-01	2.095983567318e-13
89	4.934546247133e-01	2.277676672888e-01	9.608550105423e-01	1.021733556794e-13
90	4.934545896135e-01	2.277677708515e-01	9.608547639220e-01	1.176490266027e-13
91	4.934545255931e-01	2.277676239294e-01	9.608548177775e-01	2.405002490189e-14
92	4.934543273527e-01	2.277675372105e-01	9.608544321405e-01	7.216197903652e-14
93	4.934543929179e-01	2.277675956208e-01	9.608545156163e-01	2.064771565797e-14
94	4.934545271378e-01	2.277675354176e-01	9.608549546902e-01	2.645999605771e-14
95	4.934544931967e-01	2.277675725963e-01	9.608548105880e-01	1.093689467936e-14
96	4.934543605215e-01	2.277675442877e-01	9.608545083517e-01	6.903592881740e-15
97	4.934542779857e-01	2.277675044668e-01	9.608543534974e-01	1.643918364757e-14
98	4.934544608003e-01	2.277675212633e-01	9.608548034296e-01	4.663794061419e-15
99	4.934544947414e-01	2.277674840845e-01	9.608549469221e-01	1.302345462929e-14
100	4.934543281251e-01	2.277674929546e-01	9.608545003167e-01	1.253057942868e-13
101	4.934544519288e-01	2.277675526859e-01	9.608547331716e-01	3.632368947968e-15
102	4.934545522075e-01	2.277675296615e-01	9.608550284840e-01	3.470432381304e-14
103	4.934544084430e-01	2.277675406311e-01	9.608546383921e-01	6.819290822776e-15
104	4.934545042860e-01	2.277675333180e-01	9.608548984803e-01	2.375145257971e-14
105	4.934544324038e-01	2.277675388029e-01	9.608547034075e-01	8.485096056035e-15
106	4.934544563645e-01	2.277675369746e-01	9.608547684584e-01	1.441101501386e-14
107	4.934544301859e-01	2.277675466585e-01	9.608546858932e-01	1.167795425049e-14
108	4.934544257501e-01	2.277675623699e-01	9.608546506214e-01	4.907829059222e-15
109	4.934544474930e-01	2.277675683972e-01	9.608546981246e-01	7.485987016532e-15
110	4.934544431662e-01	2.277675629626e-01	9.608546951855e-01	1.719452241843e-14
111	4.934544388395e-01	2.277675575279e-01	9.608546913854e-01	2.872720397226e-14
112	4.934544410573e-01	2.277675496722e-01	9.608547096307e-01	1.384593091307e-14
113	4.934544541466e-01	2.277675448303e-01	9.608547506275e-01	1.103236911470e-15
114	4.934544618002e-01	2.277675384814e-01	9.608547801200e-01	2.343728864460e-15
115	4.934544650181e-01	2.277675478439e-01	9.608547746455e-01	1.750330791226e-14
116	4.934544470475e-01	2.277675492152e-01	9.608547251679e-01	2.865068584266e-14
117	4.934544530377e-01	2.277675487581e-01	9.608547419773e-01	4.528452542640e-15
118	4.934544476020e-01	2.277675472512e-01	9.608547301647e-01	6.701815051782e-15
